Date,TWTR,KO,GM
2015-10-01,24.68,32.255226,25.307962
2015-10-02,26.309999,32.733391,26.182642
2015-10-05,28.15,33.235859,26.207396
2015-10-06,27.620001,33.195328,26.586975
2015-10-07,29.83,33.649178,27.271866
2015-10-08,30.32,34.021973,27.585434
2015-10-09,30.85,34.05439,27.189348
2015-10-12,28.75,34.038174,27.24711
2015-10-13,29.059999,33.75452,27.337881
2015-10-14,29.379999,33.778839,27.502909
2015-10-15,29.709999,33.973339,27.494658
2015-10-16,31.15,34.05439,27.354383
2015-10-19,30.91,34.030079,27.428648
2015-10-20,30.91,34.273209,27.62669
2015-10-21,29.299999,34.192154,29.227518
2015-10-22,29.15,35.043121,29.227518
2015-10-23,30.280001,34.678417,29.664856
2015-10-26,30.889999,34.516338,29.433811
2015-10-27,31.34,34.532555,28.856192
2015-10-28,30.870001,34.629795,29.062494
2015-10-29,29.059999,34.678417,28.674654
2015-10-30,28.459999,34.321831,28.806686
2015-11-02,29.200001,34.232685,29.351292
2015-11-03,29.129999,34.16785,29.524582
2015-11-04,29.360001,34.013863,29.227518
2015-11-05,28.66,34.305618,29.244022
2015-11-06,28.280001,34.005764,29.499821
2015-11-09,27.09,33.665379,29.433811
2015-11-10,27.049999,33.85178,29.392548
2015-11-11,26.5,34.070602,29.334789
2015-11-12,26.129999,33.697796,28.955214
2015-11-13,25.18,33.535713,28.311584
2015-11-16,25.41,34.005764,29.021223
2015-11-17,25.23,33.770737,29.054234
2015-11-18,25.9,34.265106,30.08569
2015-11-19,26.32,34.937756,29.821632
2015-11-20,26.27,34.386658,29.986679
2015-11-23,25.200001,34.816204,29.772137
2015-11-24,25.52,35.140369,29.887657
2015-11-25,26.059999,35.140369,29.986679
2015-11-27,25.75,35.238369,30.011427
2015-11-30,25.4,34.805542,29.871145
2015-12-01,25.530001,35.026039,29.920662
2015-12-02,25.4,34.928043,29.483324
2015-12-03,25.9,34.674881,29.26878
2015-12-04,25.02,35.352695,29.912411
2015-12-07,24.459999,35.279202,29.813395
2015-12-08,24.99,35.124046,29.277023
2015-12-09,24.309999,34.838207,29.252274
2015-12-10,25.91,34.919872,29.400806
2015-12-11,24.84,34.519714,28.509621
2015-12-14,24.92,34.666714,28.37759
2015-12-15,23.950001,35.173031,28.501368
2015-12-16,24.299999,35.801853,29.301878
2015-12-17,23.309999,35.516033,28.442995
2015-12-18,22.99,34.707546,28.076101
2015-12-21,22.139999,34.936203,28.20952
2015-12-22,22.559999,35.352695,28.593092
2015-12-23,22.67,35.663017,29.00169
2015-12-24,22.969999,35.556862,28.851589
2015-12-28,22.530001,35.516033,28.776541
2015-12-29,22.469999,35.69569,28.768202
2015-12-30,22.23,35.58136,28.626448
2015-12-31,23.139999,35.08321,28.359613
2016-01-04,22.559999,34.625881,27.775911
2016-01-05,21.92,34.748379,27.042114
2016-01-06,21.389999,34.560551,26.074833
2016-01-07,20.26,33.988899,25.007488
2016-01-08,19.98,33.899063,24.623917
2016-01-11,19.65,33.956226,25.224295
2016-01-12,19.620001,34.397217,25.265987
2016-01-13,18.68,34.176723,25.424423
2016-01-14,19.0,34.201218,25.265987
2016-01-15,17.940001,33.890896,24.657272
2016-01-19,16.690001,34.233883,24.515511
2016-01-20,17.379999,33.7929,24.532192
2016-01-21,17.83,33.80106,24.640591
2016-01-22,17.84,34.348225,24.415457
2016-01-25,17.02,34.429886,24.373758
2016-01-26,17.01,34.364559,24.723974
2016-01-27,16.780001,34.372711,24.357079
2016-01-28,16.49,34.764709,24.198643
2016-01-29,16.799999,35.050541,24.715637
2016-02-01,17.91,35.115871,25.107552
2016-02-02,16.08,34.658543,24.723974
2016-02-03,16.559999,34.887222,24.115261
2016-02-04,16.91,34.732048,23.881781
2016-02-05,15.72,34.658543,23.798395
2016-02-08,14.9,34.83004,23.915134
2016-02-09,14.4,35.36087,23.239712
2016-02-10,14.98,34.748379,23.106285
2016-02-11,14.31,34.634048,22.430861
2016-02-12,15.88,35.205696,23.106285
2016-02-16,16.360001,35.409863,23.831747
2016-02-17,17.459999,35.516033,24.407114
2016-02-18,18.43,35.614021,24.206984
2016-02-19,18.309999,35.744686,23.998522
2016-02-22,18.299999,35.883518,24.707302
2016-02-23,18.299999,35.679359,24.498833
2016-02-24,18.0,35.859016,24.048548
2016-02-25,17.59,36.063187,24.598898
2016-02-26,17.940001,35.230198,24.707302
2016-02-29,18.120001,35.222034,24.548868
2016-03-01,17.85,35.679359,25.024172
2016-03-02,18.540001,35.744686,25.140911
2016-03-03,19.309999,35.899853,25.908058
2016-03-04,19.360001,36.022343,26.158222
2016-03-07,19.17,35.940678,26.341667
2016-03-08,18.33,36.193848,25.582857
2016-03-09,17.66,36.594006,25.785492
2016-03-10,16.610001,36.936985,26.0219
2016-03-11,16.809999,37.200356,26.3934
2016-03-14,17.120001,37.274433,26.325859
2016-03-15,16.190001,37.23328,26.216091
2016-03-16,16.700001,37.076904,26.756456
2016-03-17,16.85,37.669476,26.984423
2016-03-18,16.85,37.52956,26.984423
2016-03-21,16.889999,37.587181,27.085747
2016-03-22,16.860001,37.447269,26.933765
2016-03-23,16.01,37.414341,26.435616
2016-03-24,15.91,37.513103,26.140104
2016-03-28,15.6,37.694176,26.190765
2016-03-29,15.97,38.253811,26.334297
2016-03-30,16.360001,38.336121,26.165436
2016-03-31,16.549999,38.179745,26.536934
2016-04-01,15.98,38.541878,25.726393
2016-04-04,17.09,38.591248,25.245127
2016-04-05,17.049999,38.294979,24.991835
2016-04-06,17.26,38.443104,25.2789
2016-04-07,16.98,38.155067,24.839855
2016-04-08,16.65,38.574791,24.79764
2016-04-11,16.51,38.220901,24.932732
2016-04-12,16.57,38.393734,25.084707
2016-04-13,17.370001,37.891701,25.988131
2016-04-14,17.530001,37.718868,25.937471
2016-04-15,17.58,37.941071,25.802378
2016-04-18,17.309999,38.039829,26.435616
2016-04-19,16.92,38.352577,26.992872
2016-04-20,17.4,36.517258,27.178614
2016-04-21,17.51,35.932915,27.575445
2016-04-22,17.23,36.657181,27.170179
2016-04-25,17.09,36.797077,26.975983
2016-04-26,17.75,36.648933,27.178614
2016-04-27,14.86,36.772388,27.15329
2016-04-28,14.64,36.731239,27.389696
2016-04-29,14.62,36.871155,26.849335
2016-05-02,14.4,37.019299,26.807117
2016-05-03,14.01,36.904083,26.38496
2016-05-04,14.84,37.019299,25.827709
2016-05-05,14.12,37.08514,25.785492
2016-05-06,14.4,37.299126,26.140104
2016-05-09,14.2,37.23328,25.988131
2016-05-10,14.63,37.653027,26.469387
2016-05-11,14.59,37.414341,26.241423
2016-05-12,14.08,37.718868,26.325859
2016-05-13,14.1,37.323814,25.768604
2016-05-16,14.29,37.546021,25.89525
2016-05-17,14.34,36.830006,25.861479
2016-05-18,14.14,36.607784,25.962801
2016-05-19,14.15,36.476105,25.599741
2016-05-20,14.43,36.171597,25.810822
2016-05-23,14.41,36.188057,25.827709
2016-05-24,14.03,36.517258,26.216091
2016-05-25,14.41,36.52549,26.722685
2016-05-26,14.3,36.780624,26.418736
2016-05-27,15.1,36.854698,26.503162
2016-05-31,15.22,36.706547,26.410286
